,name,url,height,weight,shot,pos,draft
0,Joe Thornton,/players/t/thornjo01.html,193,220,L,C,1st
1,Patrick Marleau,/players/m/marlepa01.html,188,220,L,C,2nd
2,Olli Jokinen,/players/j/jokinol01.html,188,210,L,C,3rd
3,Roberto Luongo,/players/l/luongro01.html,190,217,a,G,4th
4,Eric Brewer,/players/b/breweer01.html,193,216,L,D,5th
5,Daniel Tkaczuk,/players/t/tkaczda01.html,185,189,L,C,6th
6,Paul Mara,/players/m/marapa01.html,193,207,L,D,7th
7,Sergei Samsonov,/players/s/samsose01.html,173,188,R,L,8th
8,Nick Boynton,/players/b/boyntni01.html,185,218,R,D,9th
9,Brad Ference,/players/f/ferenbr01.html,190,218,R,D,10t
10,Jason Ward,/players/w/wardja01.html,188,208,R,R,11t
11,Marian Hossa,/players/h/hossama01.html,185,207,L,R,12t
12,Dan Cleary,/players/c/clearda01.html,185,205,L,R,13t
13,Michel Riesen,/players/r/riesemi01.html,188,190,R,R,14t
14,Ty Jones,/players/j/jonesty01.html,190,218,R,R,16t
15,Robert Dome,/players/d/domero01.html,183,210,L,R,17t
16,Michael Holmqvist,/players/h/holmqmi01.html,190,205,L,C,18t
17,Mike Brown,/players/b/brownmi01.html,196,185,L,L,20t
18,Mika Noronen,/players/n/noronmi01.html,188,200,a,G,21s
19,Nikos Tselios,/players/t/tselini01.html,196,226,L,D,22n
20,Scott Hannan,/players/h/hannasc01.html,185,215,L,D,23r
21,Jean-Francois Damphousse,/players/d/damphje01.html,183,180,a,G,24t
22,Brenden Morrow,/players/m/morrobr01.html,183,205,L,L,25t
23,Ben Clymer,/players/c/clymebe01.html,185,200,R,R,27t
24,Brad DeFauw,/players/d/defaubr01.html,188,220,L,L,28t
25,Scott Barney,/players/b/barnesc01.html,193,210,R,C,29t
26,Jean-Marc Pelletier,/players/p/pelleje01.html,190,209,a,G,30t
27,Jeff Zehr,/players/z/zehrje01.html,190,195,L,L,31s
28,Ryan Bonni,/players/b/bonniry01.html,193,190,L,D,34t
29,Jean-Francois Fortin,/players/f/fortije01.html,188,205,R,D,35t
30,Harold Druken,/players/d/drukeha01.html,183,200,L,C,36t
31,Stanislav Gron,/players/g/gronst01.html,188,205,L,R,38t
32,Jeremy Reich,/players/r/reichje01.html,185,203,L,L,39t
33,John Tripp,/players/t/trippjo01.html,188,215,R,R,77t
34,Maxim Balmochnykh,/players/b/balmoma01.html,185,210,L,L,45t
35,Kristian Huselius,/players/h/huselkr01.html,188,184,L,L,47t
36,Henrik Tallinder,/players/t/tallihe01.html,193,215,L,D,48t
37,Yuri Butsayev,/players/b/butsayu01.html,183,195,L,L,49t
38,Pat Kavanagh,/players/k/kavanpa01.html,190,192,R,R,50t
39,Roman Lyashenko,/players/l/lyashro01.html,183,189,R,C,52n
40,Rick Berry,/players/b/berryri01.html,188,210,L,D,55t
41,Jeff Farkas,/players/f/farkaje01.html,183,185,L,R,57t
42,Jani Hurme,/players/h/hurmeja01.html,183,190,a,G,58t
43,Matt Elich,/players/e/elichma01.html,190,196,R,R,61s
44,Lee Goren,/players/g/gorenle01.html,190,205,R,R,63r
45,Kyle Freadrich,/players/f/freadky01.html,201,260,L,L,64t
46,Josh Langfeld,/players/l/langfjo01.html,190,216,R,R,66t
47,Maxim Afinogenov,/players/a/afinoma01.html,183,190,L,R,69t
48,Erik Andersson,/players/a/anderer01.html,190,210,L,C,112
49,Josef Melichar,/players/m/melicjo01.html,188,220,L,D,71s
50,Burke Henry,/players/h/henrybu01.html,190,206,L,D,73r
51,Nick Smith,/players/s/smithni01.html,188,196,L,C,74t
52,Petr Sykora,/players/s/sykorpe02.html,190,206,R,C,76t
53,Steve Gainey,/players/g/gainest01.html,185,192,L,L,77t
54,Ville Nieminen,/players/n/niemivi01.html,180,200,L,L,78t
55,Robert Schnabel,/players/s/schnaro01.html,196,230,L,D,79t
56,Francis Lessard,/players/l/lessafr01.html,190,235,R,R,80t
57,Joe Corvo,/players/c/corvojo01.html,183,204,R,D,83r
58,Adam Mair,/players/m/mairad01.html,185,208,R,C,84t
59,Petr Mika,/players/m/mikape01.html,193,194,R,L,85t
60,Brad Larsen,/players/l/larsebr01.html,183,210,L,L,53r
61,Shane Willis,/players/w/willish01.html,185,195,R,R,56t
62,Ivan Novoseltsev,/players/n/novosiv01.html,185,210,L,R,95t
63,Ryan Ready,/players/r/readyry01.html,188,195,L,L,100
64,Quintin Laing,/players/l/laingqu01.html,190,183,L,L,102
65,Jame Pollock,/players/p/polloja01.html,185,210,R,D,106
66,Ben Simon,/players/s/simonbe01.html,183,195,L,L,110
67,Karel Betik,/players/b/betikka01.html,188,208,L,D,112
68,Magnus Arvedson,/players/a/arvedma01.html,188,198,L,L,119
69,Jason Chimera,/players/c/chimeja01.html,190,216,L,L,121
70,Kyle Calder,/players/c/caldeky01.html,180,177,L,L,130
71,Jiri Bicek,/players/b/bicekji01.html,178,190,L,R,131
72,Johan Lindbom,/players/l/lindbjo01.html,188,216,L,L,134
73,Mike York,/players/y/yorkmi01.html,178,185,R,L,136
74,Peter Sarno,/players/s/sarnope01.html,180,185,L,C,141
75,Matt Cooke,/players/c/cookema01.html,180,205,L,C,144
76,Andrei Skopintsev,/players/s/skopian01.html,183,185,R,D,153
77,Brian Campbell,/players/c/campbbr02.html,178,192,L,D,156
78,B.J. Young,/players/y/youngbj01.html,178,178,R,R,157
79,Sascha Goc,/players/g/gocsa01.html,198,220,R,D,159
80,David Aebischer,/players/a/aebisda01.html,185,185,a,G,161
81,Todd Fedoruk,/players/f/fedorto01.html,188,232,L,L,164
82,Ben Guite,/players/g/guitebe01.html,185,210,R,R,172
83,Johan Holmqvist,/players/h/holmqjo01.html,190,198,a,G,175
84,Ladislav Nagy,/players/n/nagyla01.html,180,192,L,L,177
85,Mike Mottau,/players/m/mottami01.html,183,190,L,D,182
86,Shawn Thornton,/players/t/thornsh01.html,188,217,R,R,190
87,Antti Laaksonen,/players/l/laaksan01.html,183,187,L,L,191
88,Cam Severson,/players/s/severca01.html,185,215,L,L,192
89,Niklas Nordgren,/players/n/nordgni01.html,180,185,R,L,195
90,Andrew Ference,/players/f/ferenan01.html,180,182,L,D,208
91,Kamil Piros,/players/p/piroska01.html,183,200,L,C,212
92,Scott Clemmensen,/players/c/clemmsc01.html,188,201,a,G,215
93,Mark Smith,/players/s/smithma01.html,178,200,L,C,219
94,Jonathan Hedstrom,/players/h/hedstjo01.html,183,200,L,R,221
95,Paul Comrie,/players/c/comripa01.html,180,192,L,C,224
96,Kent McDonell,/players/m/mcdonke01.html,188,205,R,R,225
97,Karel Rachunek,/players/r/rachuka01.html,188,220,R,D,229
98,Wyatt Smith,/players/s/smithwy01.html,180,205,L,C,233
99,Brett McLean,/players/m/mcleabr01.html,180,185,L,C,242
100,Jay Henderson,/players/h/hendeja01.html,180,190,L,L,246
