,name,url,height,weight,shot,pos,draft
0,Roman Hamrlik,/players/h/hamrlro01.html,188,206,L,D,1st
1,Alexei Yashin,/players/y/yashial01.html,190,225,R,C,2nd
2,Mike Rathje,/players/r/rathjmi01.html,196,235,L,D,3rd
3,Todd Warriner,/players/w/warrito01.html,185,200,L,L,4th
4,Darius Kasparaitis,/players/k/kaspada01.html,180,215,L,D,5th
5,Cory Stillman,/players/s/stillco01.html,183,200,L,L,6th
6,Brandon Convery,/players/c/convebr01.html,185,195,R,C,8th
7,Robert Petrovicky,/players/p/petroro01.html,180,172,L,C,9th
8,Andrei Nazarov,/players/n/nazaran01.html,196,242,R,L,10t
9,David Cooper,/players/c/coopeda01.html,188,204,L,D,11t
10,Sergei Krivokrasov,/players/k/krivose01.html,180,185,L,R,12t
11,Joe Hulbig,/players/h/hulbijo01.html,193,215,L,L,13t
12,Sergei Gonchar,/players/g/gonchse01.html,188,210,L,D,14t
13,Jason Bowen,/players/b/bowenja01.html,193,220,L,D,15t
14,Dmitri Kvartalnov,/players/k/kvartdm01.html,180,180,L,L,16t
15,Sergei Bautin,/players/b/bautise01.html,190,200,L,D,17t
16,Jason Smith,/players/s/smithja01.html,190,220,R,D,18t
17,Martin Straka,/players/s/strakma01.html,175,180,L,C,19t
18,David Wilkie,/players/w/wilkida01.html,190,215,R,D,20t
19,Grant Marshall,/players/m/marshgr01.html,185,200,R,R,23r
20,Peter Ferraro,/players/f/ferrape01.html,178,180,R,L,24t
21,Chad Penney,/players/p/pennech01.html,183,195,L,L,25t
22,Drew Bannister,/players/b/bannidr01.html,188,198,R,D,26t
23,Boris Mironov,/players/m/mironbo01.html,190,223,R,D,27t
24,Paul Brousseau,/players/b/brouspa01.html,188,203,R,R,28t
25,Tuomas Gronman,/players/g/gronmtu01.html,190,219,L,D,29t
26,Chris O'Sullivan,/players/o/osullch01.html,188,205,L,D,30t
27,Jim Carey,/players/c/careyji01.html,188,205,a,G,32n
28,Valeri Bure,/players/b/bureva01.html,178,185,R,R,33r
29,Jarkko Varvio,/players/v/varvija01.html,175,175,R,R,34t
30,Jozef Cierny,/players/c/ciernjo01.html,188,185,L,L,35t
31,Jeff Shantz,/players/s/shantje01.html,183,195,R,C,36t
32,Igor Korolev,/players/k/korolig01.html,185,190,L,C,38t
33,Justin Hocking,/players/h/hockiju01.html,193,215,R,D,39t
34,Michael Peca,/players/p/pecami01.html,180,183,R,C,40t
35,Sergei Klimovich,/players/k/klimose01.html,190,189,R,C,41s
36,Sergei Brylin,/players/b/brylise01.html,178,190,L,L,42n
37,Mike Fountain,/players/f/fountmi01.html,185,180,a,G,45t
38,Darren McCarty,/players/m/mccarda02.html,185,210,R,R,46t
39,Andrei Nikolishin,/players/n/nikolan01.html,183,213,L,C,47t
40,Mattias Norstrom,/players/n/norstma01.html,188,210,L,D,48t
41,Brent Gretzky,/players/g/gretzbr01.html,178,160,L,C,49t
42,Patrick Traverse,/players/t/travepa01.html,193,207,L,D,50t
43,Manny Fernandez,/players/f/fernama01.html,183,207,a,G,52n
44,Stefan Ustorf,/players/u/ustorst01.html,183,195,L,C,53r
45,Mathias Johansson,/players/j/johanma02.html,188,185,L,C,54t
46,Sergei Zholtok,/players/z/zholtse01.html,188,197,R,C,55t
47,Jarrett Deuling,/players/d/deulija01.html,183,205,L,L,56t
48,Jan Vopat,/players/v/vopatja01.html,183,205,L,D,57t
49,Jeremy Stevenson,/players/s/steveje01.html,185,215,L,L,60t
50,Vitali Karamnov,/players/k/karamvi01.html,188,185,L,L,62n
51,Vitali Prokhorov,/players/p/prokhvi01.html,175,185,L,L,64t
52,Kirk Maltby,/players/m/maltbki01.html,183,195,R,R,65t
53,Cale Hulse,/players/h/hulseca01.html,190,220,R,D,66t
54,Craig Rivet,/players/r/rivetcr01.html,188,207,R,D,68t
55,Sylvain Cloutier,/players/c/cloutsy01.html,183,200,L,C,70t
56,Martin Gendron,/players/g/gendrma01.html,175,190,R,R,71s
57,Eric Cairns,/players/c/cairner01.html,198,230,L,D,72n
58,Radek Hamr,/players/h/hamrra01.html,180,175,L,D,73r
59,Aaron Gavey,/players/g/gaveyaa01.html,188,189,L,C,74t
60,Jan Caloun,/players/c/calouja01.html,178,190,R,R,75t
61,Nikolai Borschevsky,/players/b/borscni01.html,175,180,L,R,77t
62,Robert Svehla,/players/s/svehlro01.html,183,209,R,D,78t
63,Kevin Smyth,/players/s/smythke01.html,188,217,L,L,79t
64,Dean Melanson,/players/m/melande01.html,180,190,R,D,80t
65,Jason McBain,/players/m/mcbaija01.html,188,180,L,D,81s
66,Matthew Barnaby,/players/b/barnama01.html,183,189,L,R,83r
67,Mark Visheau,/players/v/vishema01.html,198,222,R,D,84t
68,Chris Ferraro,/players/f/ferrach01.html,175,175,R,C,85t
69,Kevin Brown,/players/b/brownke03.html,185,212,R,R,87t
70,Jere Lehtinen,/players/l/lehtije01.html,183,194,R,R,88t
71,Marc Lamothe,/players/l/lamotma01.html,188,210,a,G,92n
72,Ralph Intranuovo,/players/i/intrara01.html,173,185,L,C,96t
73,Brantt Myhres,/players/m/myhrebr01.html,190,220,R,R,97t
74,Daniel Guerard,/players/g/guerada01.html,193,215,R,R,98t
75,Marcus Ragnarsson,/players/r/ragnama01.html,185,215,L,D,99t
76,Sami Helenius,/players/h/helensa01.html,198,230,L,D,102
77,Yuri Khmylev,/players/k/khmylyu01.html,185,189,R,L,108
78,Joaquin Gage,/players/g/gagejo02.html,183,200,a,G,109
79,Brian Loney,/players/l/loneybr01.html,188,200,R,R,110
80,Jeff Shevalier,/players/s/shevaje01.html,180,180,L,L,111
81,Scott Bailey,/players/b/bailesc01.html,183,195,a,G,112
82,Philippe DeRouville,/players/d/derouph01.html,185,185,a,G,115
83,Adrian Aucoin,/players/a/aucoiad01.html,188,215,R,D,117
84,Michal Sykora,/players/s/sykormi01.html,196,225,L,D,123
85,Paxton Schulte,/players/s/schulpa01.html,188,217,L,L,124
86,Derek Armstrong,/players/a/armstde01.html,183,197,R,C,128
87,Joel Bouchard,/players/b/bouchjo01.html,185,209,L,D,129
88,Jiri Dopita,/players/d/dopitji01.html,193,210,L,C,133
89,Rem Murray,/players/m/murrare01.html,188,200,L,C,135
90,Grigori Panteleev,/players/p/pantegr01.html,175,190,L,L,136
91,Dan Trebil,/players/t/trebida01.html,190,210,R,D,138
92,Jason MacDonald,/players/m/macdoja01.html,180,210,R,R,142
93,Derek Wilkinson,/players/w/wilkide01.html,183,170,a,G,145
94,Patrik Augusta,/players/a/auguspa01.html,178,170,L,R,149
95,Ken Belanger,/players/b/belanke01.html,193,225,L,L,153
96,Ian Laperriere,/players/l/laperia01.html,185,200,R,R,158
97,Mike Prokopec,/players/p/prokomi01.html,188,190,R,R,161
98,Geordie Kinnear,/players/k/kinnege01.html,185,195,L,D,162
99,Christian Proulx,/players/p/proulch01.html,183,185,L,D,164
100,Ryan VandenBussche,/players/v/vandery01.html,183,200,R,R,173
101,Ryan Mulhern,/players/m/mulhery01.html,185,202,R,C,174
102,Jason Widmer,/players/w/widmeja01.html,183,200,L,D,176
103,Juha Lind,/players/l/lindju01.html,180,185,L,C,178
104,Stephane Yelle,/players/y/yellest01.html,188,182,L,C,186
105,Steve Passmore,/players/p/passmst01.html,175,165,a,G,196
106,Todd Simon,/players/s/simonto01.html,178,188,R,C,203
107,Nikolai Khabibulin,/players/k/khabini01.html,185,208,a,G,204
108,Marko Tuomainen,/players/t/tuomama01.html,190,230,R,R,205
109,Mattias Timander,/players/t/timanma01.html,188,230,L,D,208
110,Jeff Toms,/players/t/tomsje01.html,196,200,L,C,210
111,Brian Bonin,/players/b/boninbr01.html,178,186,L,C,211
112,Anson Carter,/players/c/cartean01.html,185,210,R,R,220
113,Jonas Hoglund,/players/h/hoglujo01.html,190,215,R,L,222
114,Chris Herperger,/players/h/herpech01.html,183,190,L,C,223
115,Steven Halko,/players/h/halkost01.html,185,200,R,D,225
116,Mark Wotton,/players/w/wottoma01.html,185,195,L,D,237
117,Dan McGillis,/players/m/mcgilda01.html,190,220,L,D,238
118,Vladimir Vorobiev,/players/v/vorobvl01.html,183,184,R,L,240
119,Tomas Jelinek,/players/j/jelinto01.html,175,189,L,R,242
120,Victor Ignatjev,/players/i/ignatvi01.html,193,215,L,D,243
121,Nathan Dempsey,/players/d/dempsna01.html,183,190,R,D,245
122,Andrei Vasilyev,/players/v/vasilan01.html,175,180,R,L,248
123,Denis Chervyakov,/players/c/chervde01.html,183,185,L,D,256
124,Ryan Bach,/players/b/bachry01.html,185,185,a,G,262

