,name,url,height,weight,shot,pos,draft
0,Aaron Ekblad,/players/e/ekblaaa01.html,193,216,R,D,1st
1,Sam Reinhart,/players/r/reinhsa01.html,185,189,R,C,2nd
2,Leon Draisaitl,/players/d/draisle01.html,185,214,L,C,3rd
3,Sam Bennett,/players/b/bennesa01.html,185,186,L,C,4th
4,Michael Dal Colle,/players/d/dalcomi01.html,190,184,a,L,5th
5,Jake Virtanen,/players/v/virtaja01.html,185,208,R,R,6th
6,Haydn Fleury,/players/f/fleurha01.html,190,207,a,D,7th
7,William Nylander,/players/n/nylanwi01.html,180,169,R,C,8th
8,Nikolaj Ehlers,/players/e/ehlerni01.html,183,172,L,L,9th
9,Nick Ritchie,/players/r/ritchni01.html,188,232,L,L,10t
10,Kevin Fiala,/players/f/fialake01.html,178,180,L,L,11t
11,Brendan Perlini,/players/p/perlibr01.html,188,205,L,L,12t
12,Jakub Vrana,/players/v/vranaja01.html,180,185,a,L,13t
13,Julius Honka,/players/h/honkaju01.html,178,180,a,D,14t
14,Dylan Larkin,/players/l/larkidy01.html,185,190,L,C,15t
15,Sonny Milano,/players/m/milanso01.html,180,183,L,L,16t
16,Travis Sanheim,/players/s/sanhetr01.html,190,181,a,D,17t
17,Alex Tuch,/players/t/tuchal01.html,190,213,R,R,18t
18,Anthony Deangelo,/players/d/deangan01.html,178,175,a,D,19t
19,Nick Schmaltz,/players/s/schmani01.html,180,172,R,C,20t
20,Robby Fabbri,/players/f/fabbrro01.html,178,180,L,C,21s
21,Kasperi Kapanen,/players/k/kapanka01.html,183,181,L,R,22n
22,Conner Bleackley,/players/b/bleacco01.html,183,192,a,C,23r
23,Jared McCann,/players/m/mccanja01.html,183,179,L,C,24t
24,David Pastrnak,/players/p/pastrda01.html,183,181,R,R,25t
25,Nikita Scherbak,/players/s/scherni01.html,185,175,a,R,26t
26,Nikolay Goldobin,/players/g/goldoni01.html,180,180,L,L,27t
27,Joshua Ho-Sang,/players/h/hosanjo01.html,180,175,R,C,28t
28,Adrian Kempe,/players/k/kempead01.html,185,187,L,L,29t
29,John Quenneville,/players/q/quennjo02.html,183,182,L,C,30t
30,Brendan Lemieux,/players/l/lemiebr01.html,183,206,a,L,31s
31,Jayce Hawryluk,/players/h/hawryja01.html,178,190,a,C,32n
32,Ivan Barbashev,/players/b/barbaiv01.html,183,180,a,C,33r
33,Mason McDonald,/players/m/mcdonma01.html,193,178,a,G,34t
34,Dominik Masin,/players/m/masindo01.html,188,189,L,D,35t
35,Thatcher Demko,/players/d/demkoth01.html,190,192,L,G,36t
36,Alex Nedeljkovic,/players/n/nedelal01.html,180,190,a,G,37t
37,Marcus Pettersson,/players/p/pettema01.html,193,167,L,D,38t
38,Vitek Vanecek,/players/v/vanecvi01.html,185,180,a,G,39t
39,Andreas Englund,/players/e/engluan01.html,190,189,L,D,40t
40,Joshua Jacobs,/players/j/jacobjo01.html,185,193,R,D,41s
41,Vladislav Kamenev,/players/k/kamenvl01.html,188,203,L,L,42n
42,Ryan MacInnis,/players/m/macinry01.html,190,183,L,C,43r
43,Eric Cornel,/players/c/corneer01.html,185,186,R,C,44t
44,Brett Pollock,/players/p/pollobr01.html,188,182,L,L,45t
45,Julius Bergman,/players/b/bergmju01.html,185,187,a,D,46t
46,Ryan Collins,/players/c/colliry01.html,196,202,a,D,47t
47,Nicolas Aube-Kubel,/players/a/aubekni01.html,180,187,a,R,48t
48,Vaclav Karabacek,/players/k/karabva01.html,180,196,a,R,49t
49,Roland McKeown,/players/m/mckeoro01.html,183,195,a,D,50t
50,Jack Dougherty,/players/d/doughja01.html,185,186,R,D,51s
51,Maxim Letunov,/players/l/letunma01.html,188,155,L,C,52n
52,Noah Rod,/players/r/rodno01.html,183,188,L,R,53r
53,Hunter Smith,/players/s/smithhu01.html,198,208,a,C,54t
54,Brandon Montour,/players/m/montobr01.html,180,172,R,D,55t
55,Ryan Donato,/players/d/donatry01.html,183,174,L,C,56t
56,Johnathan McLeod,/players/m/maclejo02.html,185,200,R,D,57t
57,Christian Dvorak,/players/d/dvorach01.html,183,178,a,L,58t
58,Brandon Halverson,/players/h/halvebr01.html,190,176,L,G,59t
59,Alex Lintuniemi,/players/l/lintual01.html,190,231,a,D,60t
60,Jonas Johansson,/players/j/johanjo03.html,190,198,L,G,61s
61,Justin Kirkland,/players/k/kirklju01.html,188,175,L,L,62n
62,Dominic Turgeon,/players/t/turgedo01.html,185,198,L,C,63r
63,Brandon Hickey,/players/h/hickebr01.html,185,177,L,D,64t
64,Juho Lammikko,/players/l/lammiju01.html,188,189,L,R,65t
65,Nikita Tryamkin,/players/t/tryamni01.html,201,228,L,D,66t
66,Warren Foegele,/players/f/foegewa01.html,183,178,L,L,67t
67,Rinat Valiev,/players/v/valieri01.html,188,205,L,D,68t
68,Jack Glover,/players/g/gloveja01.html,190,190,R,D,69t
69,Miles Gendron,/players/g/gendrmi01.html,185,181,L,D,70t
70,Connor Chatham,/players/c/chathco01.html,188,222,R,R,71s
71,Alex Schoenborn,/players/s/schoeal01.html,183,194,a,R,72n
