,name,url,height,weight,shot,pos,draft
0,Nathan MacKinnon,/players/m/mackina01.html,183,195,R,C,1st
1,Aleksander Barkov,/players/b/barkoal01.html,190,213,L,C,2nd
2,Jonathan Drouin,/players/d/drouijo01.html,180,188,L,L,3rd
3,Seth Jones,/players/j/jonesse01.html,193,208,R,D,4th
4,Elias Lindholm,/players/l/lindhel01.html,185,192,R,C,5th
5,Sean Monahan,/players/m/monahse01.html,190,195,L,C,6th
6,Darnell Nurse,/players/n/nurseda01.html,193,213,L,D,7th
7,Rasmus Ristolainen,/players/r/ristora01.html,193,207,R,D,8th
8,Bo Horvat,/players/h/horvabo01.html,183,206,L,C,9th
9,Valeri Nichushkin,/players/n/nichuva01.html,193,205,L,R,10t
10,Samuel Morin,/players/m/morinsa01.html,198,202,a,D,11t
11,Max Domi,/players/d/domima01.html,178,198,L,L,12t
12,Josh Morrissey,/players/m/morrijo04.html,183,186,L,D,13t
13,Alexander Wennberg,/players/w/wennbal01.html,185,197,L,C,14t
14,Ryan Pulock,/players/p/pulocry01.html,188,215,R,D,15t
15,Nikita Zadorov,/players/z/zadorni01.html,196,220,L,D,16t
16,Curtis Lazar,/players/l/lazarcu01.html,183,209,R,C,17t
17,Mirco Mueller,/players/m/muellmi01.html,190,205,L,D,18t
18,Kerby Rychel,/players/r/rycheke01.html,185,213,L,L,19t
19,Anthony Mantha,/players/m/manthan01.html,196,214,L,R,20t
20,Frederik Gauthier,/players/g/gauthfr01.html,196,214,L,C,21s
21,Emile Poirier,/players/p/poiriem01.html,185,185,L,L,22n
22,Andre Burakovsky,/players/b/burakan01.html,190,198,L,L,23r
23,Hunter Shinkaruk,/players/s/shinkhu01.html,178,181,L,C,24t
24,Michael McCarron,/players/m/mccarmi01.html,198,231,R,R,25t
25,Shea Theodore,/players/t/theodsh01.html,188,195,L,D,26t
26,Marko Da?o,/players/d/danoma01.html,180,183,L,C,27t
27,Morgan Klimchuk,/players/k/klimcmo01.html,180,180,a,L,28t
28,Jason Dickinson,/players/d/dickija01.html,185,179,L,C,29t
29,Ryan Hartman,/players/h/hartmry01.html,180,181,R,R,30t
30,Ian McCoshen,/players/m/mccosia01.html,ml>,ml>,a,D,31s
31,Chris Bigras,/players/b/bigrach01.html,185,190,L,D,32n
32,Adam Erne,/players/e/ernead01.html,185,210,a,L,33r
33,Jacob de La Rose,/players/d/delarja01.html,190,214,L,L,34t
34,J.T. Compher,/players/c/comphj.01.html,ml>,ml>,a,L,35t
35,Zachary Fucale,/players/f/fucalza01.html,ml>,ml>,a,G,36t
36,Valentin Zykov,/players/z/zykovva01.html,183,209,a,L,37t
37,Connor Hurley,/players/h/hurleco01.html,ml>,ml>,a,C,38t
38,Laurent Dauphin,/players/d/dauphla01.html,183,166,a,C,39t
