,gm_result,age,ith_game,team_for,team_agt,date_game,gm_loc,goals_all,assists_all,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,assists_pp,assists_ev,assists_sh,num_shifts,time_on_ice,hits_all,blocks_all,fc_win,fc_loss,Year,Name,Url,Height,Weight,ShotHand,Position,Drafts,draft_years
0,W,19.16,1,PIT,PHI,2006-10-05,Home,1,1,2,2,1,0,0,,,,28,19.48,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
1,L,19.17,2,PIT,DET,2006-10-07,Home,0,0,0,0,0,0,0,,,,27,22.7,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
2,W,19.18,3,PIT,NYR,2006-10-12,Away,1,3,0,0,0,1,0,,,,26,22.3,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
3,L,19.19,4,PIT,CAR,2006-10-14,Home,0,0,-1,0,0,0,0,,,,24,22.08,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
4,L,19.2,5,PIT,NJD,2006-10-18,Home,0,0,0,2,0,0,0,,,,26,21.42,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
5,W,19.2,6,PIT,NYI,2006-10-19,Away,0,3,1,0,0,0,0,,,,28,24.08,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
6,W,19.21,7,PIT,CBJ,2006-10-21,Home,0,1,0,4,0,0,0,,,,24,20.63,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
7,W,19.21,8,PIT,NJD,2006-10-24,Home,1,1,2,2,1,0,0,,,,25,20.17,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
8,W,19.22,9,PIT,PHI,2006-10-28,Away,3,0,3,2,3,0,0,,,,21,17.08,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
9,W,19.24,10,PIT,LAK,2006-11-01,Away,0,3,1,0,0,0,0,,,,23,22.23,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
10,L,19.24,11,PIT,SJS,2006-11-04,Away,0,0,-2,2,0,0,0,,,,25,20.93,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
11,L,19.25,12,PIT,ANA,2006-11-06,Away,0,1,0,0,0,0,0,,,,20,19.48,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
12,L,19.25,13,PIT,TBL,2006-11-08,Home,0,2,0,2,0,0,0,,,,25,23.02,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
13,L,19.26,14,PIT,OTT,2006-11-10,Home,0,1,-2,0,0,0,0,,,,20,17.6,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
14,L,19.26,15,PIT,CAR,2006-11-11,Away,0,0,-1,4,0,0,0,,,,23,15.97,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
15,W,19.27,16,PIT,PHI,2006-11-13,Home,1,1,2,2,1,0,0,,,,26,23.12,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
16,L,19.28,17,PIT,BUF,2006-11-17,Away,2,0,1,2,2,0,0,,,,28,22.57,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
17,W,19.28,18,PIT,NYR,2006-11-18,Home,0,2,1,0,0,0,0,,,,24,21.72,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
18,W,19.29,19,PIT,PHI,2006-11-20,Away,1,1,2,0,1,0,0,,,,12,12.87,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
19,W,19.31,20,PIT,NYI,2006-11-28,Home,0,2,2,0,0,0,0,,,,25,20.87,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
20,L,19.32,21,PIT,NJD,2006-12-01,Away,0,0,0,0,0,0,0,,,,22,20.28,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
21,L,19.32,22,PIT,NYI,2006-12-02,Home,0,2,0,0,0,0,0,,,,27,25.42,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
22,L,19.33,23,PIT,FLA,2006-12-05,Home,1,1,-1,0,0,1,0,,,,24,20.02,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
23,L,19.33,24,PIT,NYR,2006-12-07,Away,1,0,0,0,0,1,0,,,,26,18.62,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
24,W,19.34,25,PIT,ATL,2006-12-09,Away,1,1,-1,0,0,1,0,,,,25,19.77,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
25,W,19.35,26,PIT,WSH,2006-12-11,Away,1,1,2,2,1,0,0,,,,28,19.88,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
26,W,19.35,27,PIT,PHI,2006-12-13,Home,1,5,3,0,1,0,0,,,,25,18.6,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
27,W,19.36,28,PIT,NYI,2006-12-15,Home,1,3,4,2,1,0,0,,,,25,21.07,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
28,L,19.36,29,PIT,MTL,2006-12-16,Away,0,1,0,0,0,0,0,,,,27,21.02,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
29,L,19.37,30,PIT,STL,2006-12-19,Home,0,1,-2,0,0,0,0,,,,23,20.17,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
30,L,19.37,31,PIT,ATL,2006-12-21,Away,1,1,2,0,1,0,0,,,,24,20.58,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
31,L,19.39,32,PIT,NJD,2006-12-26,Away,0,0,-1,4,0,0,0,,,,23,19.32,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
32,L,19.39,33,PIT,ATL,2006-12-27,Home,0,0,-1,0,0,0,0,,,,24,21.75,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
33,W,19.39,34,PIT,TOR,2006-12-29,Home,0,3,-1,2,0,0,0,,,,26,21.67,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
34,W,19.41,35,PIT,CAR,2007-01-02,Home,2,1,2,0,2,0,0,,,,23,20.15,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
35,W,19.41,36,PIT,BUF,2007-01-05,Away,0,1,-1,0,0,0,0,,,,23,20.98,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
36,L,19.42,37,PIT,TBL,2007-01-07,Home,1,1,0,0,1,0,0,,,,26,22.82,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
37,L,19.42,38,PIT,TBL,2007-01-09,Away,1,0,0,0,1,0,0,,,,24,23.75,,,,,2007.0,Sidney Crosby,c/crosbsi01,180,200,L,C,1.0,2005.0
