,gm_result,age,ith_game,team_for,team_agt,date_game,gm_loc,goals_all,assists_all,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,assists_pp,assists_ev,assists_sh,num_shifts,time_on_ice,hits_all,blocks_all,fc_win,fc_loss,Year,Name,Url,Height,Weight,ShotHand,Position,Drafts,draft_years
0,L,19.82,1,LAK,PHX,2009-10-03,Home,1,1,-2,4,0,1,0,,,,24,22.92,,,,,2010.0,Drew Doughty,d/doughdr01,185,195,R,D,2.0,2008.0
1,W,19.83,2,LAK,SJS,2009-10-06,Home,0,1,3,0,0,0,0,,,,28,24.13,,,,,2010.0,Drew Doughty,d/doughdr01,185,195,R,D,2.0,2008.0
2,W,19.83,3,LAK,MIN,2009-10-08,Home,0,1,1,0,0,0,0,,,,30,24.47,,,,,2010.0,Drew Doughty,d/doughdr01,185,195,R,D,2.0,2008.0
3,W,19.84,4,LAK,STL,2009-10-10,Away,0,1,0,2,0,0,0,,,,21,20.23,,,,,2010.0,Drew Doughty,d/doughdr01,185,195,R,D,2.0,2008.0
4,W,19.84,5,LAK,NYI,2009-10-12,Away,1,0,1,0,1,0,0,,,,21,19.35,,,,,2010.0,Drew Doughty,d/doughdr01,185,195,R,D,2.0,2008.0
5,L,19.85,6,LAK,NYR,2009-10-14,Away,0,0,-2,0,0,0,0,,,,25,23.25,,,,,2010.0,Drew Doughty,d/doughdr01,185,195,R,D,2.0,2008.0
6,L,19.85,7,LAK,DET,2009-10-15,Away,0,0,-2,0,0,0,0,,,,25,23.08,,,,,2010.0,Drew Doughty,d/doughdr01,185,195,R,D,2.0,2008.0
7,L,19.86,8,LAK,CBJ,2009-10-17,Away,0,0,0,2,0,0,0,,,,23,23.57,,,,,2010.0,Drew Doughty,d/doughdr01,185,195,R,D,2.0,2008.0
8,W,19.86,9,LAK,DAL,2009-10-19,Away,0,0,2,0,0,0,0,,,,21,22.4,,,,,2010.0,Drew Doughty,d/doughdr01,185,195,R,D,2.0,2008.0
9,W,19.87,10,LAK,DAL,2009-10-22,Home,0,1,0,2,0,0,0,,,,28,24.83,,,,,2010.0,Drew Doughty,d/doughdr01,185,195,R,D,2.0,2008.0
