,gm_result,age,ith_game,team_for,team_agt,date_game,gm_loc,goals_all,assists_all,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,assists_pp,assists_ev,assists_sh,num_shifts,time_on_ice,hits_all,blocks_all,fc_win,fc_loss,Year,Name,Url,Height,Weight,ShotHand,Position,Drafts,draft_years
0,L,19.54,1,STL,PHX,2007-10-04,Away,0,1,0,0,0,0,0,,,,25,17.98,,,,,2008.0,Erik Johnson,j/johnser01,193,232,R,D,1.0,2006.0
1,W,19.55,2,STL,LAK,2007-10-06,Away,1,0,0,0,0,1,0,,,,16,13.77,,,,,2008.0,Erik Johnson,j/johnser01,193,232,R,D,1.0,2006.0
2,L,19.62,3,STL,CBJ,2007-11-04,Away,0,0,0,0,0,0,0,,,,17,15.17,,,,,2008.0,Erik Johnson,j/johnser01,193,232,R,D,1.0,2006.0
3,L,19.64,4,STL,CHI,2007-11-09,Away,0,0,-1,0,0,0,0,,,,22,19.17,,,,,2008.0,Erik Johnson,j/johnser01,193,232,R,D,1.0,2006.0
4,W,19.65,5,STL,DET,2007-11-13,Home,0,2,1,0,0,0,0,,,,17,13.82,,,,,2008.0,Erik Johnson,j/johnser01,193,232,R,D,1.0,2006.0
5,W,19.66,6,STL,CBJ,2007-11-16,Home,0,0,-1,0,0,0,0,,,,16,14.87,,,,,2008.0,Erik Johnson,j/johnser01,193,232,R,D,1.0,2006.0
6,W,19.66,7,STL,NSH,2007-11-17,Away,0,0,0,0,0,0,0,,,,18,15.87,,,,,2008.0,Erik Johnson,j/johnser01,193,232,R,D,1.0,2006.0
7,W,19.67,8,STL,NSH,2007-11-19,Home,0,1,1,0,0,0,0,,,,20,16.87,,,,,2008.0,Erik Johnson,j/johnser01,193,232,R,D,1.0,2006.0
8,L,19.67,9,STL,DET,2007-11-21,Away,0,0,0,2,0,0,0,,,,23,14.17,,,,,2008.0,Erik Johnson,j/johnser01,193,232,R,D,1.0,2006.0
9,W,19.68,10,STL,VAN,2007-11-23,Home,1,0,0,2,0,1,0,,,,16,14.27,,,,,2008.0,Erik Johnson,j/johnser01,193,232,R,D,1.0,2006.0
