,gm_result,age,ith_game,team_for,team_agt,date_game,gm_loc,goals_all,assists_all,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,assists_pp,assists_ev,assists_sh,num_shifts,time_on_ice,hits_all,blocks_all,fc_win,fc_loss,Year,Name,Url,Height,Weight,ShotHand,Position,Drafts,draft_years
0,L,19.99,1,EDM,WPG,2013-10-01,Home,0,0,-1,0,0,0,0,,,,25,14.95,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
1,L,20.0,2,EDM,VAN,2013-10-05,Away,0,0,-2,0,0,0,0,,,,23,16.22,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
2,W,20.0,3,EDM,NJD,2013-10-07,Home,0,0,1,0,0,0,0,,,,27,16.57,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
3,L,20.01,4,EDM,MTL,2013-10-10,Home,0,0,-1,2,0,0,0,,,,18,13.35,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
4,L,20.02,5,EDM,PIT,2013-10-15,Away,0,0,-1,0,0,0,0,,,,23,17.48,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
5,L,20.03,6,EDM,NYI,2013-10-17,Away,0,0,0,0,0,0,0,,,,21,17.57,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
6,W,20.04,7,EDM,OTT,2013-10-19,Away,0,1,2,2,0,0,0,,,,18,13.08,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
7,W,20.04,8,EDM,MTL,2013-10-22,Away,0,0,1,0,0,0,0,,,,23,15.9,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
8,L,20.05,9,EDM,WSH,2013-10-24,Home,0,0,-4,0,0,0,0,,,,22,19.13,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
9,L,20.05,10,EDM,PHX,2013-10-26,Away,0,1,0,0,0,0,0,,,,22,16.27,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
10,L,20.06,11,EDM,LAK,2013-10-27,Away,1,0,-1,0,0,1,0,,,,27,20.22,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
11,L,20.06,12,EDM,TOR,2013-10-29,Home,0,0,-4,2,0,0,0,,,,28,21.57,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
12,L,20.07,13,EDM,DET,2013-11-02,Home,0,0,-2,0,0,0,0,,,,22,15.1,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
13,W,20.08,14,EDM,FLA,2013-11-05,Away,0,0,-1,0,0,0,0,,,,18,12.78,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
14,L,20.09,15,EDM,TBL,2013-11-07,Away,0,0,-1,0,0,0,0,,,,15,11.13,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
15,L,20.09,16,EDM,PHI,2013-11-09,Away,0,0,0,0,0,0,0,,,,14,10.77,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
16,L,20.1,17,EDM,CHI,2013-11-10,Away,1,0,0,2,0,1,0,,,,17,10.9,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
17,L,20.1,18,EDM,DAL,2013-11-13,Home,0,0,-1,0,0,0,0,,,,17,13.23,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
18,L,20.11,19,EDM,SJS,2013-11-15,Home,1,0,0,4,0,1,0,,,,23,14.25,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
19,W,20.11,20,EDM,CGY,2013-11-16,Away,0,1,1,0,0,0,0,,,,25,16.32,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
20,W,20.12,21,EDM,CBJ,2013-11-19,Home,1,1,0,0,0,1,0,,,,22,16.85,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
21,W,20.13,22,EDM,FLA,2013-11-21,Home,0,1,0,2,0,0,0,,,,24,15.65,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
22,L,20.14,23,EDM,CHI,2013-11-25,Home,0,0,-1,0,0,0,0,,,,21,15.9,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
23,W,20.15,24,EDM,NSH,2013-11-28,Away,0,0,0,0,0,0,0,,,,19,12.9,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
24,L,20.15,25,EDM,CBJ,2013-11-29,Away,0,0,0,0,0,0,0,,,,23,21.37,,,,,2014.0,Nail Yakupov,y/yakupna01,180,195,L,R,1.0,2012.0
