,gm_result,age,ith_game,team_for,team_agt,date_game,gm_loc,goals_all,assists_all,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,assists_pp,assists_ev,assists_sh,num_shifts,time_on_ice,hits_all,blocks_all,fc_win,fc_loss,Year,Name,Url,Height,Weight,ShotHand,Position,Drafts,draft_years
0,W,19.67,1,FLA,PHI,2015-10-10,Home,0,1,1,0,0,0,0,1,0,0,23,17.83,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
1,L,19.68,2,FLA,PHI,2015-10-12,Away,0,0,0,0,0,0,0,0,0,0,22,18.3,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
2,W,19.68,3,FLA,CAR,2015-10-13,Away,0,0,1,0,0,0,0,0,0,0,18,18.47,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
3,W,19.68,4,FLA,BUF,2015-10-15,Home,0,1,-1,2,0,0,0,1,0,0,15,15.97,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
4,L,19.69,5,FLA,DAL,2015-10-17,Home,0,0,0,0,0,0,0,0,0,0,21,20.63,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
5,L,19.7,6,FLA,PIT,2015-10-20,Away,0,0,1,0,0,0,0,0,0,0,22,18.17,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
6,L,19.7,7,FLA,CHI,2015-10-22,Away,0,0,1,0,0,0,0,0,0,0,22,20.83,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
7,W,19.71,8,FLA,DAL,2015-10-24,Away,1,0,1,0,1,0,0,0,0,0,22,18.77,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
8,W,19.72,9,FLA,COL,2015-10-27,Home,0,0,0,2,0,0,0,0,0,0,22,19.88,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
9,L,19.73,10,FLA,BOS,2015-10-30,Home,0,0,0,0,0,0,0,0,0,0,20,20.73,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
10,L,19.73,11,FLA,WSH,2015-10-31,Home,0,0,-1,0,0,0,0,0,0,0,20,17.58,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
11,L,19.74,12,FLA,ANA,2015-11-04,Away,0,0,0,0,0,0,0,0,0,0,24,19.67,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
12,L,19.74,13,FLA,SJS,2015-11-05,Away,0,0,0,2,0,0,0,0,0,0,24,22.63,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
13,L,19.75,14,FLA,LAK,2015-11-07,Away,0,0,-2,0,0,0,0,0,0,0,23,18.77,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
14,W,19.76,15,FLA,CGY,2015-11-10,Home,1,0,0,0,1,0,0,0,0,0,25,19.27,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
15,L,19.76,16,FLA,BUF,2015-11-12,Home,0,1,1,0,0,0,0,0,1,0,21,20.03,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
16,W,19.77,17,FLA,TBL,2015-11-14,Away,1,0,0,0,0,1,0,0,0,0,30,27.65,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
17,W,19.77,18,FLA,TBL,2015-11-16,Home,1,0,1,0,1,0,0,0,0,0,26,20.98,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
18,L,19.78,19,FLA,ANA,2015-11-19,Home,0,0,-1,2,0,0,0,0,0,0,30,25.13,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
19,L,19.79,20,FLA,NYR,2015-11-21,Home,0,2,0,0,0,0,0,1,1,0,28,21.88,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
20,L,19.79,21,FLA,LAK,2015-11-23,Home,0,0,-1,2,0,0,0,0,0,0,28,22.5,,,,,2016.0,Aaron Ekblad,e/ekblaaa01,193.0,216.0,R,D,1.0,2014.0
