,gm_result,age,ith_game,team_for,team_agt,date_game,gm_loc,goals_all,assists_all,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,assists_pp,assists_ev,assists_sh,num_shifts,time_on_ice,hits_all,blocks_all,fc_win,fc_loss,Year,Name,Url,Height,Weight,ShotHand,Position,Drafts,draft_years
0,W,20.1,1,ATL,OTT,2000-10-21,Away,0,1,0,0,0,0,0,,,,24,18.63,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
1,L,20.11,2,ATL,EDM,2000-10-25,Away,0,0,-1,0,0,0,0,,,,19,14.33,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
2,W,20.11,3,ATL,VAN,2000-10-27,Away,0,0,1,0,0,0,0,,,,18,15.03,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
3,L,20.12,4,ATL,SJS,2000-10-28,Away,0,1,0,0,0,0,0,,,,25,16.83,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
4,W,20.13,5,ATL,LAK,2000-11-02,Home,0,1,0,0,0,0,0,,,,20,15.0,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
5,W,20.13,6,ATL,BOS,2000-11-04,Away,0,2,3,0,0,0,0,,,,22,16.25,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
6,L,20.14,7,ATL,OTT,2000-11-06,Home,0,0,-1,0,0,0,0,,,,19,14.88,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
7,L,20.16,8,ATL,WSH,2000-11-12,Away,0,0,0,0,0,0,0,,,,20,16.1,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
8,L,20.16,9,ATL,FLA,2000-11-13,Away,0,1,1,2,0,0,0,,,,18,16.67,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
9,W,20.16,10,ATL,NSH,2000-11-15,Home,0,0,0,0,0,0,0,,,,16,14.48,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
10,W,20.17,11,ATL,PIT,2000-11-18,Away,0,1,1,0,0,0,0,,,,21,16.9,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
11,W,20.18,12,ATL,TBL,2000-11-22,Away,0,0,-2,2,0,0,0,,,,18,14.48,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
12,L,20.19,13,ATL,MTL,2000-11-23,Home,0,0,0,0,0,0,0,,,,1,0.45,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
13,W,20.21,14,ATL,TBL,2000-12-01,Home,0,1,1,2,0,0,0,,,,17,10.17,,,,,2001.0,Patrik Stefan,s/stefapa01,188,210,L,C,1.0,1999.0
