,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1355,1188,53.3,-1.3,1016,897,53.1,-2.1,9.2,90.2,99.5,53.7,46.3,81,40,-6,8,2,1,3,15,5,0,6.7,</t,6.7,</t,16:40,</t,</,</,</
2,1478,1178,55.6,5.8,1139,876,56.5,6.4,8.3,91.5,99.7,51.9,48.1,82,81,-8,22,19,4,4,34,21,0,16.1,</t,16.1,</t,19:39,</t,</,</,</
3,1120,1119,50.0,1.5,807,850,48.7,1.2,10.6,90.2,100.,52.1,47.9,82,68,-6,17,12,1,1,26,14,0,10.4,</t,10.4,</t,20:08,</t,</,</,</
4,1460,1354,51.9,4.0,1043,1067,49.4,2.1,9.4,90.2,99.6,50.1,49.9,82,50,-2,24,14,0,7,23,21,0,12.3,545,12.3,545,21:38,99,33,56,46
5,1388,1386,50.0,2.1,1012,1039,49.3,1.4,8.1,89.5,97.6,50.1,49.9,82,50,15,25,14,1,8,24,10,1,10.8,636,10.8,636,21:03,61,37,55,37
6,845,836,50.3,-1.9,616,631,49.4,-2.2,12.2,89.8,102.,57.5,42.5,70,68,4,16,13,0,5,31,10,0,10.5,504,10.5,504,20:43,74,17,45,42
7,1382,1256,52.4,1.7,998,951,51.2,1.3,8.9,89.2,98.1,63.5,36.5,81,72,-10,18,12,3,8,26,17,0,11.1,532,11.1,532,21:56,80,31,64,43
8,1391,1044,57.1,7.2,981,792,55.3,5.1,6.0,89.9,95.9,54.6,45.4,82,48,-20,14,7,3,3,28,16,2,9.2,476,9.2,476,21:33,48,35,66,47
9,1384,1109,55.5,6.7,1025,851,54.6,6.1,7.3,91.3,98.6,57.1,42.9,<s,54,5,14,3,1,4,29,6,0,11.8,270,11.8,270,20:00,35,24,48,24
10,1119,844,57.0,6.5,830,649,56.1,6.2,7.2,90.4,97.6,57.9,42.1,79,74,-13,18,1,2,0,27,11,2,9.1,403,9.1,403,20:17,67,28,77,61
11,265,265,50.0,5.8,195,202,49.1,4.6,7.8,94.0,101.,54.2,45.8,77,41,-13,16,7,0,4,21,10,0,9.4,450,9.4,450,18:51,65,27,38,47
12,1153,1020,53.1,3.0,8442,7752,52.1,2.2,8.7,90.1,98.8,54.5,45.5,83,34,-3,12,1,0,0,20,6,0,6.5,378,6.5,378,18:33,74,33,62,39
