Year,Name,Order,Team,Pos,Games,TOI,TOIPG
20132014,Ryan Suter,1,MIN,D,82,"2,411",29.40
20132014,Erik Karlsson,2,OTT,D,82,"2,219",27.06
20132014,Brian Campbell,3,FLA,D,82,"2,210",26.95
20132014,Shea Weber,4,NSH,D,79,"2,125",26.90
20132014,Oliver Ekman-Larsson,5,PHO,D,80,"2,071",25.89
20132014,Alex Pietrangelo,6,STL,D,81,"2,054",25.36
20132014,Andrei Markov,7,MON,D,81,"2,044",25.23
20132014,Jack Johnson,8,CLS,D,82,"2,023",24.67
20132014,Andrew MacDonald,9,PHI,D,82,"2,019",24.62
20132014,P.K. Subban,10,MON,D,82,"2,018",24.61
20132014,Andy Greene,11,NJ,D,82,"2,015",24.57
20132014,John Carlson,12,WAS,D,82,"2,010",24.51
20132014,Drew Doughty,13,LA,D,78,"2,005",25.71
20132014,Keith Yandle,14,PHO,D,82,"1,979",24.13
20132014,Jay Bouwmeester,15,STL,D,82,"1,971",24.04
20132014,Alex Goligoski,16,DAL,D,81,"1,969",24.31
20132014,Tobias Enstrom,17,WPG,D,82,"1,959",23.89
20132014,T.J. Brodie,18,CGY,D,81,"1,949",24.06
20132014,Duncan Keith,19,CHI,D,79,"1,947",24.65
20132014,Niklas Kronwall,20,DET,D,79,"1,920",24.30
20132014,Ryan McDonagh,21,NYR,D,77,"1,910",24.81
20132014,Roman Josi,22,NSH,D,72,"1,902",26.42
20132014,Zdeno Chara,23,BOS,D,77,"1,898",24.65
20132014,Dan Hamhuis,24,VAN,D,79,"1,892",23.95
20132014,Christian Ehrhoff,25,BUF,D,79,"1,889",23.91
20132014,Jonas Brodin,26,MIN,D,79,"1,888",23.90
20132014,Dion Phaneuf,27,TOR,D,80,"1,885",23.56
20132014,Dan Girardi,28,NYR,D,81,"1,872",23.11
20132014,Braydon Coburn,29,PHI,D,82,"1,840",22.44
20132014,Erik Johnson,30,COL,D,80,"1,840",23.00
20132014,Slava Voynov,31,LA,D,82,"1,828",22.29
20132014,Brent Seabrook,32,CHI,D,82,"1,825",22.26
20132014,Matthew Carle,33,TB,D,82,"1,819",22.18
20132014,Dustin Byfuglien,34,WPG,D,78,"1,800",23.08
20132014,Justin Faulk,35,CAR,D,76,"1,779",23.41
20132014,Ron Hainsey,36,CAR,D,82,"1,758",21.44
20132014,Dmitry Kulikov,37,FLA,D,81,"1,757",21.69
20132014,Sidney Crosby,38,PIT,C,80,"1,757",21.96
20132014,Marek Zidlicky,39,NJ,D,81,"1,753",21.64
20132014,Andrej Sekera,40,CAR,D,74,"1,752",23.68
20132014,Jan Hejda,41,COL,D,78,"1,741",22.32
20132014,Kevin Bieksa,42,VAN,D,76,"1,730",22.76
20132014,Justin Schultz,43,EDM,D,74,"1,727",23.34
20132014,Travis Hamonic,44,NYI,D,69,"1,726",25.01
20132014,Jeff Petry,45,EDM,D,80,"1,726",21.58
20132014,Matt Niskanen,46,PIT,D,81,"1,724",21.28
20132014,Niklas Hjalmarsson,47,CHI,D,81,"1,723",21.27
20132014,Justin Braun,48,SJ,D,82,"1,720",20.98
20132014,Anze Kopitar,49,LA,C,82,"1,712",20.88
20132014,Kyle Quincey,50,DET,D,82,"1,706",20.80
20132014,James Wisniewski,51,CLS,D,75,"1,696",22.61
20132014,Martin St. Louis,52,NYR,RW,81,"1,696",20.94
20132014,Phil Kessel,53,TOR,RW,82,"1,694",20.66
20132014,Mark Streit,54,PHI,D,82,"1,692",20.63
20132014,Jason Garrison,55,VAN,D,81,"1,692",20.89
20132014,Brenden Dillon,56,DAL,D,80,"1,687",21.09
20132014,Jake Gardiner,57,TOR,D,80,"1,686",21.08
20132014,James van Riemsdyk,58,TOR,LW,80,"1,684",21.05
20132014,Karl Alzner,59,WAS,D,82,"1,683",20.52
20132014,Victor Hedman,60,TB,D,75,"1,682",22.43
20132014,Patrick Marleau,61,SJ,LW,82,"1,682",20.51
20132014,Ryan Kesler,62,VAN,C,77,"1,679",21.81
20132014,Marc-Edouard Vlasic,63,SJ,D,81,"1,677",20.70
20132014,Claude Giroux,64,PHI,C,82,"1,675",20.43
20132014,Cam Fowler,65,ANH,D,70,"1,670",23.86
20132014,Kevin Shattenkirk,66,STL,D,81,"1,666",20.57
20132014,Chris Butler,67,CGY,D,82,"1,661",20.26
20132014,Bryan Little,68,WPG,C,82,"1,640",20.00
20132014,Ryan Getzlaf,69,ANH,C,77,"1,638",21.27
20132014,Cody Franson,70,TOR,D,79,"1,634",20.68
20132014,Ryan Nugent-Hopkins,71,EDM,C,80,"1,631",20.39
20132014,Marc Methot,72,OTT,D,75,"1,631",21.75
20132014,Joe Pavelski,73,SJ,C,82,"1,627",19.84
20132014,Travis Zajac,74,NJ,C,80,"1,624",20.30
20132014,Nicklas Backstrom,75,WAS,C,82,"1,623",19.79
20132014,Francois Beauchemin,76,ANH,D,70,"1,616",23.09
20132014,Mark Giordano,77,CGY,D,64,"1,614",25.22
20132014,Alex Ovechkin,78,WAS,RW,78,"1,602",20.54
20132014,Eric Staal,79,CAR,C,79,"1,602",20.28
20132014,Tomas Plekanec,80,MON,C,81,"1,601",19.77
20132014,Dan Boyle,81,NYI,D,75,"1,596",21.28
20132014,Andre Benoit,82,COL,D,79,"1,596",20.20
20132014,Mike Green,83,WAS,D,70,"1,591",22.73
20132014,Johnny Boychuk,84,BOS,D,75,"1,589",21.19
20132014,Ryan O'Reilly,85,COL,LW,80,"1,585",19.81
20132014,Corey Perry,86,ANH,RW,81,"1,577",19.47
20132014,Antoine Vermette,87,PHO,C,82,"1,575",19.21
20132014,Kris Russell,88,CGY,D,68,"1,573",23.13
20132014,Anton Stralman,89,NYR,D,81,"1,572",19.41
20132014,Jaromir Jagr,90,NJ,RW,82,"1,570",19.15
