,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,name
7,2011-12,PHX,33.0,860.0,833.0,50.8,1.4,618.0,637.0,49.2,0.4,8.2,93.9,102.0,46.3,53.7,rozsimi01
8,2012-13,CHI,34.0,440.0,290.0,60.3,7.2,335.0,209.0,61.6,6.9,11.6,92.4,103.0,62.7,37.3,rozsimi01
9,2013-14,CHI,35.0,638.0,441.0,59.1,1.3,476.0,335.0,58.7,0.3,8.3,89.7,98.1,64.7,35.3,rozsimi01
10,2014-15,CHI,36.0,1057.0,903.0,53.9,0.9,760.0,695.0,52.2,-0.1,7.6,91.7,99.4,55.6,44.4,rozsimi01
11,2015-16,CHI,37.0,693.0,684.0,50.3,0.4,487.0,518.0,48.5,-1.8,8.4,92.6,101.0,57.1,42.9,rozsimi01
12,2016-17,CHI,38.0,98.0,101.0,49.2,-3.0,69.0,79.0,46.6,-3.0,1.9,100.0,101.0,59.4,40.6,rozsimi01
1,2007-08,TOT,33.0,1220.0,1352.0,47.4,-4.5,933.0,1063.0,46.7,-5.2,7.7,92.1,99.8,46.9,53.1,saleiru01
2,2007-08,FLA,33.0,997.0,1147.0,46.5,-6.3,755.0,914.0,45.2,-7.0,7.4,92.5,99.9,46.1,53.9,saleiru01
3,2007-08,COL,33.0,223.0,205.0,52.1,2.9,178.0,149.0,54.4,3.4,8.9,90.1,99.0,52.3,47.7,saleiru01
4,2008-09,COL,34.0,1026.0,1156.0,47.0,-2.8,773.0,822.0,48.5,-2.5,9.3,90.5,99.8,52.0,48.0,saleiru01
5,2009-10,COL,35.0,174.0,196.0,47.0,5.0,142.0,146.0,49.3,7.9,8.1,90.6,98.7,48.1,51.9,saleiru01
6,2010-11,DET,36.0,1175.0,1040.0,53.0,-2.2,888.0,808.0,52.4,-2.6,6.6,92.5,99.0,56.6,43.4,saleiru01
1,2007-08,VAN,33.0,843.0,972.0,46.4,-4.9,677.0,741.0,47.7,-3.8,6.9,94.4,101.0,50.3,49.7,salosa01
2,2008-09,VAN,34.0,728.0,706.0,50.8,1.7,542.0,545.0,49.9,1.2,8.9,92.7,101.0,49.4,50.6,salosa01
3,2009-10,VAN,35.0,894.0,917.0,49.4,-3.8,680.0,709.0,49.0,-3.9,11.5,91.3,102.0,49.9,50.1,salosa01
4,2010-11,VAN,36.0,395.0,409.0,49.1,-9.9,298.0,319.0,48.3,-10.0,6.4,93.0,99.4,53.9,46.1,salosa01
5,2011-12,VAN,37.0,995.0,931.0,51.7,-3.6,720.0,708.0,50.4,-3.9,8.3,93.1,101.0,55.1,44.9,salosa01
6,2012-13,TBL,38.0,581.0,711.0,45.0,-2.2,436.0,540.0,44.7,-3.2,11.9,91.4,103.0,42.0,58.0,salosa01
7,2013-14,TBL,39.0,910.0,849.0,51.7,1.4,717.0,634.0,53.1,2.6,9.5,91.6,101.0,53.7,46.3,salosa01
1,2007-08,CGY,29.0,928.0,912.0,50.4,-5.4,715.0,735.0,49.3,-4.6,8.8,91.9,100.0,44.7,55.3,saricco01
2,2008-09,CGY,30.0,1032.0,838.0,55.2,-2.2,762.0,666.0,53.4,-1.9,8.3,92.7,101.0,56.2,43.8,saricco01
3,2009-10,CGY,31.0,717.0,662.0,52.0,-3.8,546.0,501.0,52.1,-1.9,7.5,92.9,100.0,53.6,46.4,saricco01
4,2010-11,CGY,32.0,1134.0,1050.0,51.9,0.4,846.0,757.0,52.8,1.6,8.6,92.2,100.0,48.9,51.1,saricco01
5,2011-12,CGY,33.0,802.0,779.0,50.7,3.6,570.0,579.0,49.6,3.2,7.2,93.4,100.0,47.6,52.4,saricco01
6,2012-13,CGY,34.0,333.0,349.0,48.8,1.3,241.0,253.0,48.8,0.5,5.8,89.9,95.8,40.7,59.3,saricco01
7,2013-14,COL,35.0,707.0,773.0,47.8,-2.2,514.0,588.0,46.6,-3.9,9.7,92.4,102.0,50.4,49.6,saricco01
1,2007-08,NYI,30.0,22.0,12.0,64.7,34.5,20.0,6.0,76.9,46.0,0.0,60.0,60.0,37.5,62.5,simjo01
2,2008-09,NYI,31.0,429.0,586.0,42.3,-8.4,321.0,413.0,43.7,-7.2,8.8,90.0,98.8,43.4,56.6,simjo01
3,2009-10,NYI,32.0,698.0,880.0,44.2,-5.6,504.0,619.0,44.9,-5.7,7.7,92.5,100.0,47.6,52.4,simjo01
4,2010-11,NYI,33.0,237.0,370.0,39.0,-8.2,180.0,262.0,40.7,-6.9,6.1,89.3,95.4,36.9,63.1,simjo01
1,2007-08,BOS,29.0,912.0,780.0,53.9,2.5,714.0,625.0,53.3,3.3,8.1,93.1,101.0,50.9,49.1,sturmma01
2,2008-09,BOS,30.0,170.0,170.0,50.0,-3.2,136.0,131.0,50.9,0.1,11.5,96.7,108.0,46.4,53.6,sturmma01
3,2009-10,BOS,31.0,1001.0,834.0,54.6,1.7,750.0,640.0,54.0,1.1,7.4,94.5,101.0,52.7,47.3,sturmma01
4,2010-11,TOT,32.0,413.0,384.0,51.8,-1.0,316.0,276.0,53.4,0.4,7.8,93.9,101.0,51.4,48.6,sturmma01
5,2010-11,LAK,32.0,198.0,190.0,51.0,-4.5,153.0,145.0,51.3,-2.5,11.3,94.1,105.0,52.5,47.5,sturmma01
6,2010-11,WSH,32.0,215.0,194.0,52.6,2.6,163.0,131.0,55.4,3.5,5.0,93.8,98.8,50.4,49.6,sturmma01
7,2011-12,TOT,33.0,448.0,424.0,51.4,0.5,326.0,309.0,51.3,-0.3,4.6,89.9,94.5,47.3,52.7,sturmma01
8,2011-12,VAN,33.0,59.0,52.0,53.2,2.4,42.0,38.0,52.5,-0.7,3.3,82.1,85.5,45.5,54.5,sturmma01
9,2011-12,FLA,33.0,389.0,372.0,51.1,0.2,284.0,271.0,51.2,-0.3,4.8,91.0,95.8,47.6,52.4,sturmma01
1,2007-08,NJD,30.0,684.0,774.0,46.9,-11.0,518.0,597.0,46.5,-11.0,7.4,92.5,99.9,50.4,49.6,whiteco01
2,2008-09,NJD,31.0,1026.0,908.0,53.1,-0.6,791.0,687.0,53.5,-0.5,9.6,91.4,101.0,46.2,53.8,whiteco01
3,2009-10,NJD,32.0,1124.0,1125.0,50.0,-2.4,879.0,846.0,51.0,-2.8,8.5,91.8,100.0,40.8,59.2,whiteco01
4,2010-11,NJD,33.0,862.0,877.0,49.6,-4.3,653.0,654.0,50.0,-4.3,7.1,92.5,99.6,48.1,51.9,whiteco01
5,2011-12,SJS,34.0,628.0,608.0,50.8,-3.0,464.0,421.0,52.4,-2.4,6.1,91.9,98.1,49.4,50.6,whiteco01
1,2008-09,STL,31.0,17.0,23.0,42.5,-11.,16.0,16.0,50.0,-5.6,18.2,100.0,118.0,15.4,84.6,whitftr01
2,2009-10,BOS,32.0,122.0,114.0,51.7,-5.8,93.0,81.0,53.4,-4.6,5.4,90.0,95.4,50.5,49.5,whitftr01
3,2011-12,BOS,34.0,16.0,7.0,69.6,</td,14.0,4.0,77.8,</td,0.0,100.0,100.0,90.0,10.0,whitftr01
1,2007-08,LAK,29.0,465.0,486.0,48.9,1.3,347.0,377.0,47.9,0.6,7.1,89.9,97.1,45.7,54.3,willsbr01
2,2008-09,COL,30.0,353.0,385.0,47.8,-0.9,269.0,283.0,48.7,-0.2,3.0,93.2,96.2,49.1,50.9,willsbr01
3,2009-10,COL,31.0,24.0,36.0,40.0,</td,19.0,25.0,43.2,</td,7.1,89.5,96.6,42.1,57.9,willsbr01
4,2010-11,WSH,32.0,2.0,12.0,14.3,</td,2.0,8.0,20.0,</td,50.0,85.7,135.0,60.0,40.0,willsbr01
1,2007-08,NJD,29.0,929.0,809.0,53.5,-0.1,710.0,638.0,52.7,-0.7,8.7,91.9,100.0,56.8,43.2,zubruda01
2,2008-09,NJD,30.0,1046.0,851.0,55.1,2.0,780.0,665.0,54.0,0.5,8.7,91.7,100.0,51.6,48.4,zubruda01
3,2009-10,NJD,31.0,577.0,530.0,52.1,2.4,455.0,387.0,54.0,3.9,8.7,91.2,99.9,48.6,51.4,zubruda01
4,2010-11,NJD,32.0,881.0,761.0,53.7,2.1,694.0,585.0,54.3,2.7,7.9,89.6,97.5,52.3,47.7,zubruda01
5,2011-12,NJD,33.0,932.0,868.0,51.8,0.4,711.0,662.0,51.8,0.4,10.5,90.8,101.0,49.9,50.1,zubruda01
6,2012-13,NJD,34.0,257.0,216.0,54.3,-6.4,194.0,151.0,56.2,-4.6,6.5,87.4,93.9,50.3,49.7,zubruda01
7,2013-14,NJD,35.0,1006.0,872.0,53.6,-0.5,772.0,686.0,52.9,-0.9,8.3,90.9,99.1,50.5,49.5,zubruda01
8,2014-15,NJD,36.0,668.0,796.0,45.6,-1.6,496.0,622.0,44.4,-2.4,6.9,92.5,99.4,38.7,61.3,zubruda01
9,2015-16,SJS,37.0,438.0,443.0,49.7,-3.3,321.0,311.0,50.8,-3.0,8.4,92.7,101.0,47.1,52.9,zubruda01
1,2007-08,CHI,30.0,275.0,312.0,46.8,-7.0,207.0,237.0,46.6,-6.5,6.4,88.9,95.3,45.8,54.2,zyuzian01
