,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,name
7,2012-13,CGY,34.0,210.0,226.0,48.2,0.4,160.0,166.0,49.1,1.3,10.4,88.1,98.5,45.5,54.5,beginst01
1,2007-08,MIN,30.0,811.0,818.0,49.8,0.4,619.0,640.0,49.2,0.7,8.7,91.2,99.9,38.8,61.2,belaner01
2,2008-09,MIN,31.0,844.0,952.0,47.0,-2.5,634.0,725.0,46.7,-3.5,7.6,92.4,100.0,38.2,61.8,belaner01
3,2009-10,TOT,32.0,851.0,814.0,51.1,-1.6,647.0,606.0,51.6,-0.6,8.2,92.7,100.0,43.8,56.2,belaner01
4,2009-10,MIN,32.0,632.0,608.0,51.0,-1.3,484.0,463.0,51.1,-1.1,8.5,92.0,100.0,43.7,56.3,belaner01
5,2009-10,WSH,32.0,219.0,206.0,51.5,-2.1,163.0,143.0,53.3,1.2,7.3,95.0,102.0,44.4,55.6,belaner01
6,2010-11,PHX,33.0,1143.0,1059.0,51.9,1.3,858.0,814.0,51.3,2.2,9.7,92.2,101.0,46.5,53.5,belaner01
7,2011-12,EDM,34.0,731.0,852.0,46.2,-2.2,546.0,633.0,46.3,-3.7,5.9,92.3,98.2,41.9,58.1,belaner01
8,2012-13,EDM,35.0,199.0,316.0,38.6,-10.0,141.0,229.0,38.1,-10.0,7.7,94.6,102.0,34.0,66.0,belaner01
1,2007-08,PHI,29.0,9.0,14.0,39.1,-14.0,4.0,13.0,23.5,-32.0,0.0,77.8,77.8,0.0,100.0,bouleje01
2,2008-09,EDM,30.0,5.0,10.0,33.3,-26.0,4.0,7.0,36.4,-19.0,0.0,100.0,100.0,60.0,40.0,bouleje01
1,2007-08,WSH,29.0,637.0,531.0,54.5,-0.6,474.0,398.0,54.4,-1.1,6.4,92.3,98.7,49.3,50.7,bradlma01
2,2008-09,WSH,30.0,687.0,675.0,50.4,-6.0,493.0,494.0,49.9,-6.3,6.0,94.0,100.0,51.8,48.2,bradlma01
3,2009-10,WSH,31.0,696.0,621.0,52.8,-1.1,484.0,454.0,51.6,-1.0,8.4,92.6,101.0,48.8,51.2,bradlma01
4,2010-11,WSH,32.0,499.0,535.0,48.3,-4.1,367.0,358.0,50.6,-1.2,6.9,91.2,98.1,49.7,50.3,bradlma01
5,2011-12,FLA,33.0,322.0,458.0,41.3,-11.0,231.0,332.0,41.0,-12.0,6.5,93.9,100.0,50.0,50.0,bradlma01
1,2007-08,PHI,30.0,936.0,1131.0,45.3,-4.7,690.0,869.0,44.3,-6.5,7.7,91.2,99.0,57.4,42.6,brierda01
2,2008-09,PHI,31.0,306.0,374.0,45.0,-5.4,227.0,273.0,45.4,-6.4,11.2,90.2,101.0,52.2,47.8,brierda01
3,2009-10,PHI,32.0,1160.0,990.0,54.0,1.4,879.0,756.0,53.8,0.0,7.8,91.4,99.3,56.7,43.3,brierda01
4,2010-11,PHI,33.0,1173.0,1176.0,49.9,-1.7,890.0,875.0,50.4,-1.7,10.4,92.4,102.0,54.2,45.8,brierda01
5,2011-12,PHI,34.0,997.0,988.0,50.2,-2.8,720.0,699.0,50.7,-2.1,9.1,92.0,101.0,57.3,42.7,brierda01
6,2012-13,PHI,35.0,409.0,451.0,47.6,-0.6,294.0,338.0,46.5,-3.0,7.1,88.8,95.9,51.3,48.7,brierda01
7,2013-14,MTL,36.0,688.0,768.0,47.3,-0.3,515.0,566.0,47.6,-1.0,8.5,92.9,101.0,44.7,55.3,brierda01
8,2014-15,COL,37.0,454.0,632.0,41.8,-2.7,352.0,468.0,42.9,-2.0,5.9,93.1,98.9,50.7,49.3,brierda01
1,2007-08,BOS,30.0,1329.0,1139.0,53.8,2.9,1006.0,917.0,52.3,2.4,9.5,92.0,101.0,48.9,51.1,charazd01
2,2008-09,BOS,31.0,1391.0,1290.0,51.9,2.0,1056.0,1003.0,51.3,2.1,10.1,92.8,102.0,46.9,53.1,charazd01
3,2009-10,BOS,32.0,1545.0,1251.0,55.3,2.9,1158.0,945.0,55.1,2.7,7.7,93.4,101.0,49.9,50.1,charazd01
4,2010-11,BOS,33.0,1711.0,1452.0,54.1,4.3,1269.0,1117.0,53.2,3.5,8.7,94.0,102.0,46.6,53.4,charazd01
5,2011-12,BOS,34.0,1745.0,1276.0,57.8,4.4,1277.0,957.0,57.2,4.2,9.4,92.0,101.0,49.0,51.0,charazd01
6,2012-13,BOS,35.0,991.0,782.0,55.9,0.6,751.0,595.0,55.8,1.6,8.4,93.3,101.0,45.0,55.0,charazd01
7,2013-14,BOS,36.0,1465.0,1202.0,54.9,1.4,1096.0,893.0,55.1,2.3,8.6,93.6,102.0,47.8,52.2,charazd01
8,2014-15,BOS,37.0,1173.0,1007.0,53.8,2.6,853.0,782.0,52.2,1.4,6.9,91.8,98.7,45.9,54.1,charazd01
9,2015-16,BOS,38.0,1424.0,1474.0,49.1,-0.8,1074.0,1118.0,49.0,-1.3,8.5,92.2,100.0,43.9,56.1,charazd01
10,2016-17,BOS,39.0,344.0,321.0,51.7,-3.4,258.0,230.0,52.9,-2.6,10.0,94.3,104.0,46.9,53.1,charazd01
1,2007-08,COL,31.0,765.0,862.0,47.0,-4.7,605.0,639.0,48.6,-4.2,9.8,90.9,100.0,45.9,54.1,clarkbr01
2,2008-09,COL,32.0,1055.0,1268.0,45.4,-4.1,815.0,878.0,48.1,-1.5,7.3,90.5,97.8,43.1,56.9,clarkbr01
3,2009-10,COL,33.0,762.0,901.0,45.8,1.5,578.0,623.0,48.1,2.7,8.9,92.4,101.0,52.4,47.6,clarkbr01
4,2010-11,TBL,34.0,1170.0,1050.0,52.7,1.8,885.0,727.0,54.9,2.8,7.7,92.1,99.8,46.7,53.3,clarkbr01
5,2011-12,TBL,35.0,977.0,1211.0,44.7,-3.9,710.0,851.0,45.5,-4.0,8.4,88.9,97.4,46.2,53.8,clarkbr01
6,2012-13,MIN,36.0,92.0,102.0,47.4,-5.2,65.0,72.0,47.4,-8.6,4.2,78.8,83.0,69.0,31.0,clarkbr01
1,2007-08,CAR,31.0,648.0,627.0,50.8,-5.1,500.0,474.0,51.3,-5.1,9.8,91.4,101.0,51.6,48.4,cullema01
2,2008-09,CAR,32.0,845.0,853.0,49.8,-3.6,639.0,619.0,50.8,-3.2,8.1,93.3,101.0,51.0,49.0,cullema01
3,2009-10,TOT,33.0,1001.0,953.0,51.2,1.4,731.0,717.0,50.5,2.0,9.2,89.7,99.0,49.8,50.2,cullema01
4,2009-10,CAR,33.0,754.0,723.0,51.0,1.6,555.0,546.0,50.4,2.8,10.0,90.5,100.0,49.4,50.6,cullema01
5,2009-10,OTT,33.0,247.0,230.0,51.8,0.2,176.0,171.0,50.7,-1.8,7.0,87.5,94.5,51.0,49.0,cullema01
