,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2008-09,TOR,24,105,145,42.0,-6.1,77,105,42.3,-4.2,4.0,92.9,96.9,59.5,40.5
2,2009-10,TOR,25,5,8,38.5,-21.,3,7,30.0,-32.,0.0,83.3,83.3,50.0,50.0
3,2011-12,NYR,27,36,32,52.9,7.6,26,26,50.0,3.8,26.7,94.1,120.,37.9,62.1
