,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CGY,24,310,347,47.2,-6.8,226,274,45.2,-7.1,7.2,92.5,99.8,51.7,48.3
2,2008-09,CGY,25,511,398,56.2,-1.3,371,323,53.5,-2.0,3.4,92.8,96.2,59.1,40.9
3,2009-10,CGY,26,732,790,48.1,-6.2,539,598,47.4,-5.7,7.5,92.9,100.,48.2,51.8
4,2010-11,MIN,27,603,902,40.1,-7.3,440,675,39.5,-7.3,6.6,92.2,98.8,35.5,64.5
5,2011-12,DAL,28,785,886,47.0,-4.1,592,634,48.3,-3.4,6.7,91.6,98.2,44.2,55.8
6,2012-13,DAL,29,453,567,44.4,-4.4,316,417,43.1,-4.4,10.6,92.3,102.,32.2,67.8
7,2013-14,NSH,30,800,975,45.1,-6.9,584,714,45.0,-8.2,7.1,88.5,95.7,45.7,54.3
8,2014-15,NSH,31,458,630,42.1,-13.,333,436,43.3,-11.,7.7,93.5,101.,17.6,82.4
9,2015-16,NSH,32,327,408,44.5,-10.,237,279,45.9,-10.,5.2,91.4,96.6,15.6,84.4
